source_doc_id,entity,entity_type,source,method,confidence,evidence
38128,"Tổ chức, cá nhân khác có liên quan đến công việc thiết kế mẫu tiền, chế tạo bản in, khuôn đúc và in, đúc tiền",DoiTuongApDung,content_clean,gemini,1.0,"3. Tổ chức, cá nhân khác có liên quan đến công việc thiết kế mẫu tiền, chế tạo bản in, khuôn đúc và in, đúc tiền."
26750,Quốc hội,CoQuan,metadata.co_quan_ban_hanh,metadata,0.99,Quốc hội
26750,Nguyễn Phú Trọng,NguoiKy,metadata.nguoi_ky,metadata,0.99,Nguyễn Phú Trọng
26750,Quốc hội,CoQuan,content_clean,gemini,0.95,Quốc hội ban hành Luật Kiểm toán độc lập
26750,Nguyễn Phú Trọng,NguoiKy,content_clean,gemini,0.95,CHỦ TỊCH QUỐC HỘI (Đã ký) Nguyễn Phú Trọng
26750,"kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập",DoiTuongApDung,content_clean,gemini,0.95,"Điều 2. Đối tượng áp dụng Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
163441,Chính phủ,CoQuan,metadata.co_quan_ban_hanh,metadata,0.99,Chính phủ
163441,Lê Minh Khái,NguoiKy,metadata.nguoi_ky,metadata,0.99,Lê Minh Khái
163441,Bảo hiểm,LinhVuc,metadata.linh_vuc,metadata,0.99,Bảo hiểm
163441,Chính phủ,CoQuan,content_clean,gemini,0.99,Chính phủ ban hành Nghị định quy định chi tiết thi hành một số điều của Luật Kinh doanh bảo hiểm.
163441,Kinh doanh bảo hiểm,LinhVuc,content_clean,gemini,0.95,Nghị định quy định chi tiết thi hành một số điều của Luật Kinh doanh bảo hiểm.
163441,"Bên mua bảo hiểm, người được bảo hiểm, người thụ hưởng",DoiTuongApDung,content_clean,gemini,0.95,"Bên mua bảo hiểm, người được bảo hiểm, người thụ hưởng"
163441,Cơ quan quản lý nhà nước về hoạt động kinh doanh bảo hiểm,DoiTuongApDung,content_clean,gemini,0.95,Cơ quan quản lý nhà nước về hoạt động kinh doanh bảo hiểm.
163441,Tổ chức và cá nhân có liên quan đến hoạt động kinh doanh bảo hiểm,DoiTuongApDung,content_clean,gemini,0.95,Tổ chức và cá nhân có liên quan đến hoạt động kinh doanh bảo hiểm.
146468,Chính phủ,CoQuan,metadata.co_quan_ban_hanh,metadata,0.99,Chính phủ
146468,Nguyễn Xuân Phúc,NguoiKy,metadata.nguoi_ky,metadata,0.99,Nguyễn Xuân Phúc
146468,Chứng khoán,LinhVuc,metadata.linh_vuc,metadata,0.99,Chứng khoán
146468,CHÍNH PHỦ,CoQuan,content_clean,gemini,1.0,CHÍNH PHỦ ------- CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM
146468,chứng khoán và thị trường chứng khoán,LinhVuc,content_clean,gemini,0.95,Quy định xử phạt vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán
146468,"Tổ chức, cá nhân Việt Nam và tổ chức, cá nhân nước ngoài",DoiTuongApDung,content_clean,gemini,0.95,"Tổ chức, cá nhân Việt Nam và tổ chức, cá nhân nước ngoài (sau đây gọi chung là tổ chức, cá nhân) thực hiện hành vi vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán quy định tại Nghị định này."
146468,Nguyễn Xuân Phúc,NguoiKy,content_clean,gemini,1.0,TM. CHÍNH PHỦ THỦ TƯỚNG (đã ký) Nguyễn Xuân Phúc
168220,Ngân hàng Nhà nước Việt Nam,CoQuan,metadata.co_quan_ban_hanh,metadata,0.99,Ngân hàng Nhà nước Việt Nam
168220,Đào Minh Tú,NguoiKy,metadata.nguoi_ky,metadata,0.99,Đào Minh Tú
168220,"Thanh tra, giám sát ngân hàng",LinhVuc,metadata.linh_vuc,metadata,0.99,"Thanh tra, giám sát ngân hàng"
168220,Ngân hàng Nhà nước Việt Nam,CoQuan,content_clean,gemini,0.99,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM
168220,Đào Minh Tú,NguoiKy,content_clean,gemini,0.99,KT. THỐNG ĐỐC PHÓ THỐNG ĐỐC (Đã ký) Đào Minh Tú
168220,Ngân hàng hợp tác xã,DoiTuongApDung,content_clean,gemini,0.98,Điều 2. Đối tượng áp dụng 1. Ngân hàng hợp tác xã.
168220,Quỹ tín dụng nhân dân,DoiTuongApDung,content_clean,gemini,0.98,Điều 2. Đối tượng áp dụng 1. Ngân hàng hợp tác xã. 2. Quỹ tín dụng nhân dân.
168220,"Tổ chức, cá nhân có liên quan đến phạm vi điều chỉnh quy định tại Điều 1 Thông tư này",DoiTuongApDung,content_clean,gemini,0.95,"3. Tổ chức, cá nhân có liên quan đến phạm vi điều chỉnh quy định tại Điều 1 Thông tư này."
133858,Chính phủ,CoQuan,metadata.co_quan_ban_hanh,metadata,0.99,Chính phủ
133858,Nguyễn Xuân Phúc,NguoiKy,metadata.nguoi_ky,metadata,0.99,Nguyễn Xuân Phúc
133858,Chính phủ,CoQuan,content_clean,gemini,0.95,Chính phủ ban hành Nghị định về kiểm toán nội bộ.
133858,Nguyễn Xuân Phúc,NguoiKy,content_clean,gemini,0.95,TM. CHÍNH PHỦ THỦ TƯỚNG CHÍNH PHỦ (Đã ký) Nguyễn Xuân Phúc
133858,"Các bộ, cơ quan ngang bộ, cơ quan thuộc Chính phủ",DoiTuongApDung,content_clean,gemini,0.95,"a) Các bộ, cơ quan ngang bộ, cơ quan thuộc Chính phủ;"
133858,"Ủy ban nhân dân các tỉnh, thành phố trực thuộc trung ương",DoiTuongApDung,content_clean,gemini,0.95,"b) Ủy ban nhân dân các tỉnh, thành phố trực thuộc trung ương;"
133858,Các đơn vị sự nghiệp công lập,DoiTuongApDung,content_clean,gemini,0.95,c) Các đơn vị sự nghiệp công lập;
133858,Các doanh nghiệp,DoiTuongApDung,content_clean,gemini,0.95,d) Các doanh nghiệp;
133858,"Các tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán nội bộ",DoiTuongApDung,content_clean,gemini,0.95,"đ) Các tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán nội bộ."
169221,Ngân hàng Nhà nước Việt Nam,CoQuan,metadata.co_quan_ban_hanh,metadata,0.99,Ngân hàng Nhà nước Việt Nam
169221,Phạm Thanh Hà,NguoiKy,metadata.nguoi_ky,metadata,0.99,Phạm Thanh Hà
169221,Quản lý ngoại hối,LinhVuc,metadata.linh_vuc,metadata,0.99,Quản lý ngoại hối
169221,Ngân hàng Nhà nước Việt Nam,CoQuan,content_clean,gemini,0.98,"Thống đốc Ngân hàng Nhà nước Việt Nam ban hành Thông tư sửa đổi, bổ sung một số điều của Thông tư số 01/2014/TT-NHNN"
169221,Phạm Thanh Hà,NguoiKy,content_clean,gemini,0.98,KT THỐNG ĐỐC PHÓ THỐNG ĐỐC (Đã ký) Phạm Thanh Hà
169221,Chánh Văn phòng,DoiTuongApDung,content_clean,gemini,0.95,"Chánh Văn phòng, Cục trưởng Cục Quản lý dự trữ ngoại hối nhà nước và Thủ trưởng các đơn vị thuộc Ngân hàng Nhà nước Việt Nam chịu trách nhiệm tổ chức thực hiện Thông tư này."
169221,Cục trưởng Cục Quản lý dự trữ ngoại hối nhà nước,DoiTuongApDung,content_clean,gemini,0.95,"Chánh Văn phòng, Cục trưởng Cục Quản lý dự trữ ngoại hối nhà nước và Thủ trưởng các đơn vị thuộc Ngân hàng Nhà nước Việt Nam chịu trách nhiệm tổ chức thực hiện Thông tư này."
169221,Thủ trưởng các đơn vị thuộc Ngân hàng Nhà nước Việt Nam,DoiTuongApDung,content_clean,gemini,0.95,"Chánh Văn phòng, Cục trưởng Cục Quản lý dự trữ ngoại hối nhà nước và Thủ trưởng các đơn vị thuộc Ngân hàng Nhà nước Việt Nam chịu trách nhiệm tổ chức thực hiện Thông tư này."
169221,quản lý dự trữ ngoại hối nhà nước,LinhVuc,content_clean,gemini,0.9,hướng dẫn việc tổ chức thực hiện hoạt động quản lý dự trữ ngoại hối nhà nước
95652,Chính phủ,CoQuan,metadata.co_quan_ban_hanh,metadata,0.99,Chính phủ
95652,Nguyễn Tấn Dũng,NguoiKy,metadata.nguoi_ky,metadata,0.99,Nguyễn Tấn Dũng
95652,Chính phủ,CoQuan,content_clean,gemini,0.98,Chính phủ ban hành Nghị định quy định về đầu tư giá n tiếp ra nước ngoài.
95652,Nguyễn Tấn Dũng,NguoiKy,content_clean,gemini,0.99,TM. CHÍNH PHỦ THỦ TƯỚNG CHÍNH PHỦ (Đã ký) Nguyễn Tấn Dũng
95652,Nhà đầu tư,DoiTuongApDung,content_clean,gemini,0.95,1. Nhà đầu tư gồm các đối tượng sau: a) Tổ chức kinh tế theo quy định tại Khoản 16 Điều 3 Luật Đầu tư; b) Cá nhân có quốc tịch Việt Nam thuộc đối tượng được tham gia chương trình thưởng cổ phiếu phát hành ở nước ngoài.
95652,Các cơ quan quản lý nhà nước tham gia quản lý hoạt động đầu tư gián tiếp ra nước ngoài,DoiTuongApDung,content_clean,gemini,0.95,2. Các cơ quan quản lý nhà nước tham gia quản lý hoạt động đầu tư gián tiếp ra nước ngoài theo quy định tại Nghị định này.
95652,"Các tổ chức, cá nhân khác có liên quan đến hoạt động đầu tư gián tiếp ra nước ngoài",DoiTuongApDung,content_clean,gemini,0.95,"3. Các tổ chức, cá nhân khác có liên quan đến hoạt động đầu tư gián tiếp ra nước ngoài."
f69936f0-6937-11f1-a48d-29bc6b0fd706,Bộ Tài chính,CoQuan,metadata.co_quan_ban_hanh,metadata,0.99,Bộ Tài chính
f69936f0-6937-11f1-a48d-29bc6b0fd706,Nguyễn Đức Chi,NguoiKy,metadata.nguoi_ky,metadata,0.99,Nguyễn Đức Chi
f69936f0-6937-11f1-a48d-29bc6b0fd706,Bộ Tài chính,CoQuan,content_clean,gemini,0.95,BỘ TÀI CHÍNH __________ Số: 17/VBHN-BTC XÁC THỰC VĂN BẢN HỢP NHẤT
f69936f0-6937-11f1-a48d-29bc6b0fd706,Chính phủ,CoQuan,content_clean,gemini,0.95,Chính phủ ban hành Nghị định quy định xử phạt vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán
f69936f0-6937-11f1-a48d-29bc6b0fd706,Nguyễn Đức Chi,NguoiKy,content_clean,gemini,0.95,KT. BỘ TRƯỞNG THỨ TRƯỞNG Nguyễn Đức Chi
f69936f0-6937-11f1-a48d-29bc6b0fd706,chứng khoán và thị trường chứng khoán,LinhVuc,content_clean,gemini,0.9,Quy định xử phạt vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán
f69936f0-6937-11f1-a48d-29bc6b0fd706,"Tổ chức, cá nhân Việt Nam và tổ chức, cá nhân nước ngoài",DoiTuongApDung,content_clean,gemini,0.9,"Tổ chức, cá nhân Việt Nam và tổ chức, cá nhân nước ngoài (sau đây gọi chung là Tổ chức, cá nhân) thực hiện hành vi vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán quy định tại Nghị định này."
30402,Bộ Tài chính,CoQuan,metadata.co_quan_ban_hanh,metadata,0.99,Bộ Tài chính
30402,Trần Xuân Hà,NguoiKy,metadata.nguoi_ky,metadata,0.99,Trần Xuân Hà
30402,Quản lý dịch vụ tài chính và các quỹ tài chính,LinhVuc,metadata.linh_vuc,metadata,0.99,Quản lý dịch vụ tài chính và các quỹ tài chính
30402,Bộ Tài chính,CoQuan,content_clean,gemini,1.0,"Bộ trưởng Bộ Tài chính ban hành Thông tư hướng dẫn về đăng ký, quản lý và công khai danh sách kiểm toán viên hành nghề kiểm toán."
30402,Trần Xuân Hà,NguoiKy,content_clean,gemini,1.0,KT. BỘ TRƯỞNG THỨ TRƯỞNG Trần Xuân Hà
30402,"Kiểm toán viên đăng ký hành nghề tại doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam",DoiTuongApDung,content_clean,gemini,0.95,"1. Kiểm toán viên đăng ký hành nghề tại doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam."
30402,"Doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam",DoiTuongApDung,content_clean,gemini,0.95,"2. Doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam (sau đây gọi chung là doanh nghiệp kiểm toán)."
30402,"Tổ chức, cá nhân có liên quan đến việc đăng ký, quản lý và công khai danh sách kiểm toán viên hành nghề kiểm toán",DoiTuongApDung,content_clean,gemini,0.95,"3. Tổ chức, cá nhân có liên quan đến việc đăng ký, quản lý và công khai danh sách kiểm toán viên hành nghề kiểm toán."
30402,Vụ trưởng Vụ Chế độ kế toán và kiểm toán,DoiTuongApDung,content_clean,gemini,0.9,"Vụ trưởng Vụ Chế độ kế toán và kiểm toán, doanh nghiệp kiểm toán, kiểm toán viên hành nghề và các tổ chức, cá nhân có liên quan chịu trách nhiệm thi hành Thông tư này."
173460,Ngân hàng Nhà nước Việt Nam,CoQuan,metadata.co_quan_ban_hanh,metadata,0.99,Ngân hàng Nhà nước Việt Nam
173460,Đoàn Thái Sơn,NguoiKy,metadata.nguoi_ky,metadata,0.99,Đoàn Thái Sơn
173460,"Thanh tra, giám sát ngân hàng",LinhVuc,metadata.linh_vuc,metadata,0.99,"Thanh tra, giám sát ngân hàng"
173460,Ngân hàng Nhà nước Việt Nam,CoQuan,content_clean,gemini,1.0,"Thống đốc Ngân hàng Nhà nước Việt Nam ban hành Thông tư quy định hồ sơ, thủ tục cấp Giấy phép lần đầu của tổ chức tín dụng phi ngân hàng."
173460,Công ty tài chính tổng hợp,DoiTuongApDung,content_clean,gemini,1.0,Điều 2. Đối tượng áp dụng 1. Công ty tài chính tổng hợp.
173460,Công ty tài chính chuyên ngành,DoiTuongApDung,content_clean,gemini,1.0,2. Công ty tài chính chuyên ngành.
173460,"Các tổ chức, cá nhân có liên quan đến việc cấp Giấy phép lần đầu của tổ chức tín dụng phi ngân hàng",DoiTuongApDung,content_clean,gemini,1.0,"3. Các tổ chức, cá nhân có liên quan đến việc cấp Giấy phép lần đầu của tổ chức tín dụng phi ngân hàng."
173460,Đoàn Thái Sơn,NguoiKy,content_clean,gemini,1.0,KT. THỐNG ĐỐC PHÓ THỐNG ĐỐC (Đã ký) Đoàn Thái Sơn
27257,Ngân hàng Nhà nước Việt Nam,CoQuan,metadata.co_quan_ban_hanh,metadata,0.99,Ngân hàng Nhà nước Việt Nam
27257,Trần Minh Tuấn,NguoiKy,metadata.nguoi_ky,metadata,0.99,Trần Minh Tuấn
27257,Ngân hàng Nhà nước Việt Nam,CoQuan,content_clean,gemini,1.0,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM ------- CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM
27257,Tổ chức tín dụng,DoiTuongApDung,content_clean,gemini,1.0,Điều 2. Đối tượng áp dụng 1. Tổ chức tín dụng;
27257,Chi nhánh ngân hàng nước ngoài,DoiTuongApDung,content_clean,gemini,1.0,2. Chi nhánh ngân hàng nước ngoài;
27257,"Tổ chức, cá nhân có liên quan đến hệ thống kiểm soát nội bộ và kiểm toán nội bộ của tổ chức tín dụng, chi nhánh ngân hàng nước ngoài",DoiTuongApDung,content_clean,gemini,0.95,"3. Tổ chức, cá nhân có liên quan đến hệ thống kiểm soát nội bộ và kiểm toán nội bộ của tổ chức tín dụng, chi nhánh ngân hàng nước ngoài."
27257,Trần Minh Tuấn,NguoiKy,content_clean,gemini,1.0,KT. THỐNG ĐỐC PHÓ THỐNG ĐỐC Trần Minh Tuấn
143217,Bộ Tài chính,CoQuan,metadata.co_quan_ban_hanh,metadata,0.99,Bộ Tài chính
143217,Bộ Tài chính,CoQuan,content_clean,gemini,0.95,Bộ trưởng Bộ Tài chính ban hành Thông tư ban hành Quy chế mẫu về kiếm toán nội bộ áp dụng cho doanh nghiệp.
143217,Đỗ Hoàng Anh Tuấn,NguoiKy,content_clean,gemini,0.95,KT. BỘ TRƯỞNG THỨ TRƯỞNG (Đã ký) Đỗ Hoàng Anh Tuấn
143217,các doanh nghiệp quy định tại khoản 1 Điều 10 Nghị định số 05/2019/NĐ-CP,DoiTuongApDung,content_clean,gemini,0.9,Thông tư này áp dụng đối với các doanh nghiệp quy định tại khoản 1 Điều 10 Nghị định số 05/2019/NĐ-CP ngày 22 tháng 01 năm 2019 của Chính phủ về kiếm toán nội bộ.
143217,Các doanh nghiệp không thuộc quy định tại khoản 1 Điều này,DoiTuongApDung,content_clean,gemini,0.85,Các doanh nghiệp không thuộc quy định tại khoản 1 Điều này được khuyến khích xây dựng Quy chế kiểm toán nội bộ trên cơ sở tham chiếu mẫu Quy chế kiểm toán nội bộ ban hành kèm theo Thông tư này.
168859,Ngân hàng Nhà nước Việt Nam,CoQuan,metadata.co_quan_ban_hanh,metadata,0.99,Ngân hàng Nhà nước Việt Nam
168859,Đào Minh Tú,NguoiKy,metadata.nguoi_ky,metadata,0.99,Đào Minh Tú
168859,"Thanh tra, giám sát ngân hàng",LinhVuc,metadata.linh_vuc,metadata,0.99,"Thanh tra, giám sát ngân hàng"
168859,Ngân hàng Nhà nước Việt Nam,CoQuan,content_clean,gemini,0.95,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM
168859,Đào Minh Tú,NguoiKy,content_clean,gemini,0.95,kt. thống đốc PHÓ THỐNG ĐỐC Đào Minh Tú
168859,Quỹ tín dụng nhân dân,DoiTuongApDung,content_clean,gemini,0.95,Điều 2. Đối tượng áp dụng 1. Quỹ tín dụng nhân dân.
168859,Ngân hàng hợp tác xã,DoiTuongApDung,content_clean,gemini,0.95,2. Ngân hàng hợp tác xã.
168859,"Tổ chức, cá nhân có liên quan đến quản trị, điều hành, tổ chức và hoạt động của quỹ tín dụng nhân dân",DoiTuongApDung,content_clean,gemini,0.95,"3. Tổ chức, cá nhân có liên quan đến quản trị, điều hành, tổ chức và hoạt động của quỹ tín dụng nhân dân."
168859,thành lập và hoạt động ngân hàng,LinhVuc,content_clean,gemini,0.8,trong lĩnh vực thành lập và hoạt động ngân hàng.
150974,Bộ Tài chính,CoQuan,metadata.co_quan_ban_hanh,metadata,0.99,Bộ Tài chính
150974,Tạ Anh Tuấn,NguoiKy,metadata.nguoi_ky,metadata,0.99,Tạ Anh Tuấn
150974,"Kế toán, kiểm toán",LinhVuc,metadata.linh_vuc,metadata,0.99,"Kế toán, kiểm toán"
150974,Bộ Tài chính,CoQuan,content_clean,gemini,0.98,Bộ trưởng Bộ Tài chính ban hành Thông tư ban hành chuẩn mực kiểm toán nội bộ Việt Nam và các nguyên tắc đạo đức nghề nghiệp kiểm toán nội bộ.
150974,Tạ Anh Tuấn,NguoiKy,content_clean,gemini,0.95,KT. BỘ TRƯỞNG THỨ TRƯỞNG (Đã ký) Tạ Anh Tuấn
150974,"các doanh nghiệp, cơ quan nhà nước, đơn vị sự nghiệp công lập quy định tại Điều 8, Điều 9, Điều 10 Nghị định số 05/2019/NĐ-CP ngày 22 tháng 01 năm 2019 của Chính phủ về kiểm toán nội bộ và các tổ chức cá nhân có liên quan trong hoạt động kiểm toán nội bộ của các đơn vị này",DoiTuongApDung,content_clean,gemini,0.95,"Chuẩn mực kiểm toán nội bộ Việt Nam và các nguyên tắc đạo đức nghề nghiệp kiểm toán nội bộ áp dụng đối với các doanh nghiệp, cơ quan nhà nước, đơn vị sự nghiệp công lập quy định tại Điều 8, Điều 9, Điều 10 Nghị định số 05/2019/NĐ-CP ngày 22 tháng 01 năm 2019 của Chính phủ về kiểm toán nội bộ và các tổ chức cá nhân có liên quan trong hoạt động kiểm toán nội bộ của các đơn vị này."
150974,người làm công tác kiểm toán nội bộ và bộ phận kiểm toán nội bộ,DoiTuongApDung,content_clean,gemini,0.9,Chuẩn mực được áp dụng cho người làm công tác kiểm toán nội bộ và bộ phận kiểm toán nội bộ.
164719,Ngân hàng Nhà nước Việt Nam,CoQuan,metadata.co_quan_ban_hanh,metadata,0.99,Ngân hàng Nhà nước Việt Nam
164719,Đoàn Thái Sơn,NguoiKy,metadata.nguoi_ky,metadata,0.99,Đoàn Thái Sơn
164719,"Thanh tra, giám sát ngân hàng",LinhVuc,metadata.linh_vuc,metadata,0.99,"Thanh tra, giám sát ngân hàng"
164719,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM,CoQuan,content_clean,gemini,0.98,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM
164719,Đoàn Thái Sơn,NguoiKy,content_clean,gemini,0.98,KT. THỐNG ĐỐC PHÓ THỐNG ĐỐC (Đã ký) Đoàn Thái Sơn
164719,"ngân hàng, chi nhánh ngân hàng nước ngoài",DoiTuongApDung,content_clean,gemini,0.95,"quy định tỷ lệ an toàn vốn đối với ngân hàng, chi nhánh ngân hàng nước ngoài"
164719,"Chánh Văn phòng, Chánh Thanh tra, giám sát ngân hàng, Thủ trưởng các đơn vị thuộc Ngân hàng Nhà nước, ngân hàng, chi nhánh ngân hàng nước ngoài",DoiTuongApDung,content_clean,gemini,0.95,"Điều 3. Trách nhiệm tổ chức thực hiện Chánh Văn phòng, Chánh Thanh tra, giám sát ngân hàng, Thủ trưởng các đơn vị thuộc Ngân hàng Nhà nước, ngân hàng, chi nhánh ngân hàng nước ngoài chịu trách nhiệm tổ chức thực hiện Thông tư này."
173695,Ngân hàng Nhà nước Việt Nam,CoQuan,metadata.co_quan_ban_hanh,metadata,0.99,Ngân hàng Nhà nước Việt Nam
173695,Đoàn Thái Sơn,NguoiKy,metadata.nguoi_ky,metadata,0.99,Đoàn Thái Sơn
173695,"Thanh tra, giám sát ngân hàng",LinhVuc,metadata.linh_vuc,metadata,0.99,"Thanh tra, giám sát ngân hàng"
173695,Ngân hàng Nhà nước Việt Nam,CoQuan,content_clean,gemini,0.95,"Thống đốc Ngân hàng Nhà nước Việt Nam ban hành Thông tư quy định hồ sơ, thủ tục cấp Giấy phép lần đầu của ngân hàng thương mại, chi nhánh ngân hàng nước ngoài, văn phòng đại diện nước ngoài ."
173695,Đoàn Thái Sơn,NguoiKy,content_clean,gemini,0.95,KT. THỐNG ĐỐC PHÓ THỐNG ĐỐC (Đã ký) Đoàn Thái Sơn
173695,Ngân hàng thương mại,DoiTuongApDung,content_clean,gemini,0.95,Điều 2. Đối tượng áp dụng Thông tư này áp dụng đối với: 1. Ngân hàng thương mại.
173695,Chi nhánh ngân hàng nước ngoài,DoiTuongApDung,content_clean,gemini,0.95,2. Chi nhánh ngân hàng nước ngoài.
173695,"Văn phòng đại diện tại Việt Nam của tổ chức tín dụng nước ngoài, tổ chức nước ngoài khác có hoạt động ngân hàng",DoiTuongApDung,content_clean,gemini,0.95,"3. Văn phòng đại diện tại Việt Nam của tổ chức tín dụng nước ngoài, tổ chức nước ngoài khác có hoạt động ngân hàng (sau đây gọi là văn phòng đại diện nước ngoài)."
