source,target,relationship_type,method,confidence,evidence
164719,ent_0db1fd25d8655c63,KY_BOI,metadata,0.99,Đoàn Thái Sơn
164719,ent_30a2a4ce00c9e87f,AP_DUNG_CHO,gemini,0.95,"quy định tỷ lệ an toàn vốn đối với ngân hàng, chi nhánh ngân hàng nước ngoài"
164719,ent_98c0694606f989b8,BAN_HANH_BOI,metadata,0.99,Ngân hàng Nhà nước Việt Nam
164719,ent_ddd55f0b9f9c197e,AP_DUNG_CHO,gemini,0.95,"Điều 3. Trách nhiệm tổ chức thực hiện Chánh Văn phòng, Chánh Thanh tra, giám sát ngân hàng, Thủ trưởng các đơn vị thuộc Ngân hàng Nhà nước, ngân hàng, chi nhánh ngân hàng nước ngoài chịu trách nhiệm tổ chức thực hiện Thông tư này."
164719,ent_f9b6a1560b8cb974,THUOC_LINH_VUC,metadata,0.99,"Thanh tra, giám sát ngân hàng"
166170,ent_1cdcaf71884e8a3b,BAN_HANH_BOI,metadata,0.99,Quốc hội
166170,ent_2693e98696734277,AP_DUNG_CHO,gemini,0.9,"3. Văn phòng đại diện tại Việt Nam của tổ chức tín dụng nước ngoài, tổ chức nước ngoài khác có hoạt động ngân hàng (sau đây gọi là văn phòng đại diện nước ngoài)."
166170,ent_7186f7074373cc96,KY_BOI,metadata,0.99,Vương Đình Huệ
166170,ent_7a33c7cef796dfec,AP_DUNG_CHO,gemini,0.9,"4. Tổ chức mà Nhà nước sở hữu 100% vốn điều lệ có chức năng mua, bán, xử lý nợ (sau đây gọi là tổ chức mua bán, xử lý nợ)."
166170,ent_a0f80c00e2d551f4,AP_DUNG_CHO,gemini,0.95,2. Chi nhánh ngân hàng nước ngoài.
166170,ent_b7a2560072f910fe,AP_DUNG_CHO,gemini,0.9,"5. Cơ quan, tổ chức, cá nhân có liên quan đến việc thành lập, tổ chức, hoạt động, can thiệp sớm, kiểm soát đặc biệt, tổ chức lại, giải thể, phá sản tổ chức tín dụng"
166170,ent_bfc023b25f04a8d1,THUOC_LINH_VUC,metadata,0.99,Tín dụng
166170,ent_f7cce62e224d7722,AP_DUNG_CHO,gemini,0.95,Điều 2. Đối tượng áp dụng 1. Tổ chức tín dụng.
166269,ent_1c16d2bc61a740f0,AP_DUNG_CHO,gemini,0.95,"Điều 2. Đối tượng áp dụng 1. Tổ hợp tác, hợp tác xã, liên hiệp hợp tác xã."
166269,ent_1cdcaf71884e8a3b,BAN_HANH_BOI,metadata,0.99,Quốc hội
166269,ent_1eb567527fec445b,AP_DUNG_CHO,gemini,0.95,"3. Cơ quan, tổ chức, cá nhân có liên quan đến thành lập, tổ chức quản lý, tổ chức lại, giải thể, phá sản và hoạt động có liên quan của tổ hợp tác, hợp tác xã, liên hiệp hợp tác xã."
166269,ent_7186f7074373cc96,KY_BOI,metadata,0.99,Vương Đình Huệ
166269,ent_ff4b55c754f9fb89,AP_DUNG_CHO,gemini,0.95,"2. Thành viên của tổ hợp tác, hợp tác xã, liên hiệp hợp tác xã."
168220,ent_0182773d036251b0,KY_BOI,metadata,0.99,Đào Minh Tú
168220,ent_3b871533517390a8,AP_DUNG_CHO,gemini,0.98,Điều 2. Đối tượng áp dụng 1. Ngân hàng hợp tác xã.
168220,ent_98c0694606f989b8,BAN_HANH_BOI,metadata,0.99,Ngân hàng Nhà nước Việt Nam
168220,ent_b34fdf9ce0b61620,AP_DUNG_CHO,gemini,0.95,"3. Tổ chức, cá nhân có liên quan đến phạm vi điều chỉnh quy định tại Điều 1 Thông tư này."
168220,ent_f416ce1b681c4d9b,AP_DUNG_CHO,gemini,0.98,Điều 2. Đối tượng áp dụng 1. Ngân hàng hợp tác xã. 2. Quỹ tín dụng nhân dân.
168220,ent_f9b6a1560b8cb974,THUOC_LINH_VUC,metadata,0.99,"Thanh tra, giám sát ngân hàng"
168859,ent_0182773d036251b0,KY_BOI,metadata,0.99,Đào Minh Tú
168859,ent_3b871533517390a8,AP_DUNG_CHO,gemini,0.95,2. Ngân hàng hợp tác xã.
168859,ent_8e4eaa8d1f9d554a,AP_DUNG_CHO,gemini,0.95,"3. Tổ chức, cá nhân có liên quan đến quản trị, điều hành, tổ chức và hoạt động của quỹ tín dụng nhân dân."
168859,ent_98c0694606f989b8,BAN_HANH_BOI,metadata,0.99,Ngân hàng Nhà nước Việt Nam
168859,ent_9f4d9755f0695734,THUOC_LINH_VUC,gemini,0.8,trong lĩnh vực thành lập và hoạt động ngân hàng.
168859,ent_f416ce1b681c4d9b,AP_DUNG_CHO,gemini,0.95,Điều 2. Đối tượng áp dụng 1. Quỹ tín dụng nhân dân.
168859,ent_f9b6a1560b8cb974,THUOC_LINH_VUC,metadata,0.99,"Thanh tra, giám sát ngân hàng"
169221,44209,SUA_DOI_BO_SUNG,rule,0.96,"Sửa đổi, bổ sung điểm a và điểm c khoản 2 Điều 30 (đã được sửa đổi, bổ sung bởi khoản 13 Điều 1 Thông tư số 01/2020/TT-NHNN ngày 31/12/2020 của Thống đốc Ngân hàng Nhà nước Việt Nam sửa đổi, bổ sung một số điều của Thông tư 01/2014/TT-NHNN ngày 10 tháng 12 năm 2014 của Thống đốc Ngân hàng nhà nước hướng dẫn việc tổ chức thực hiện hoạt động quản lý dự trữ ngoại hối nhà nước) như sau: a) Sửa đổi, bổ sung điểm a như sau: “a) Trình Thủ tướng Chính phủ phê duyệt: Hạn mức Quỹ Bình ổn tỷ giá và quản l"
169221,ent_1054fe708f8090b2,AP_DUNG_CHO,gemini,0.95,"Chánh Văn phòng, Cục trưởng Cục Quản lý dự trữ ngoại hối nhà nước và Thủ trưởng các đơn vị thuộc Ngân hàng Nhà nước Việt Nam chịu trách nhiệm tổ chức thực hiện Thông tư này."
169221,ent_4db4a0f294e63d75,THUOC_LINH_VUC,gemini,0.9,hướng dẫn việc tổ chức thực hiện hoạt động quản lý dự trữ ngoại hối nhà nước
169221,ent_6ff6479531415a80,AP_DUNG_CHO,gemini,0.95,"Chánh Văn phòng, Cục trưởng Cục Quản lý dự trữ ngoại hối nhà nước và Thủ trưởng các đơn vị thuộc Ngân hàng Nhà nước Việt Nam chịu trách nhiệm tổ chức thực hiện Thông tư này."
169221,ent_7098a42e5d76e456,THUOC_LINH_VUC,metadata,0.99,Quản lý ngoại hối
169221,ent_7fabe44a4afcfca9,AP_DUNG_CHO,gemini,0.95,"Chánh Văn phòng, Cục trưởng Cục Quản lý dự trữ ngoại hối nhà nước và Thủ trưởng các đơn vị thuộc Ngân hàng Nhà nước Việt Nam chịu trách nhiệm tổ chức thực hiện Thông tư này."
169221,ent_98c0694606f989b8,BAN_HANH_BOI,metadata,0.99,Ngân hàng Nhà nước Việt Nam
169221,ent_f089d0435d0a9be4,KY_BOI,metadata,0.99,Phạm Thanh Hà
173460,ent_00602efd97d08612,AP_DUNG_CHO,gemini,1.0,Điều 2. Đối tượng áp dụng 1. Công ty tài chính tổng hợp.
173460,ent_0db1fd25d8655c63,KY_BOI,metadata,0.99,Đoàn Thái Sơn
173460,ent_0fa226c710ea200f,AP_DUNG_CHO,gemini,1.0,2. Công ty tài chính chuyên ngành.
173460,ent_63c69278dc2b66e4,AP_DUNG_CHO,gemini,1.0,"3. Các tổ chức, cá nhân có liên quan đến việc cấp Giấy phép lần đầu của tổ chức tín dụng phi ngân hàng."
173460,ent_98c0694606f989b8,BAN_HANH_BOI,metadata,0.99,Ngân hàng Nhà nước Việt Nam
173460,ent_f9b6a1560b8cb974,THUOC_LINH_VUC,metadata,0.99,"Thanh tra, giám sát ngân hàng"
173695,ent_0db1fd25d8655c63,KY_BOI,metadata,0.99,Đoàn Thái Sơn
173695,ent_2693e98696734277,AP_DUNG_CHO,gemini,0.95,"3. Văn phòng đại diện tại Việt Nam của tổ chức tín dụng nước ngoài, tổ chức nước ngoài khác có hoạt động ngân hàng (sau đây gọi là văn phòng đại diện nước ngoài)."
173695,ent_98c0694606f989b8,BAN_HANH_BOI,metadata,0.99,Ngân hàng Nhà nước Việt Nam
173695,ent_a0f80c00e2d551f4,AP_DUNG_CHO,gemini,0.95,2. Chi nhánh ngân hàng nước ngoài.
173695,ent_a83e76d0d0f195cf,AP_DUNG_CHO,gemini,0.9,"4. Các tổ chức, cá nhân có liên quan đến hồ sơ, thủ tục cấp Giấy phép lần đầu của ngân hàng thương mại, chi nhánh ngân hàng nước ngoài và văn phòng đại diện nước ngoài."
173695,ent_c152cb9d99efaba7,AP_DUNG_CHO,gemini,0.95,Điều 2. Đối tượng áp dụng Thông tư này áp dụng đối với: 1. Ngân hàng thương mại.
173695,ent_f9b6a1560b8cb974,THUOC_LINH_VUC,metadata,0.99,"Thanh tra, giám sát ngân hàng"
174218,ent_0db1fd25d8655c63,KY_BOI,metadata,0.99,Đoàn Thái Sơn
174218,ent_26efcbfc8591e99b,AP_DUNG_CHO,gemini,0.95,b) Tổ chức tín dụng phi ngân hàng bao gồm công ty tài chính tổng hợp và công ty tài chính chuyên ngành.
174218,ent_974f27d89692f196,AP_DUNG_CHO,gemini,0.95,"2. Tổ chức, cá nhân có liên quan đến việc tổ chức lại tổ chức tín dụng."
174218,ent_98c0694606f989b8,BAN_HANH_BOI,metadata,0.99,Ngân hàng Nhà nước Việt Nam
174218,ent_c152cb9d99efaba7,AP_DUNG_CHO,gemini,0.95,Điều 2. Đối tượng áp dụng 1. Các tổ chức tín dụng bao gồm: a) Ngân hàng thương mại;
174218,ent_f9b6a1560b8cb974,THUOC_LINH_VUC,metadata,0.99,"Thanh tra, giám sát ngân hàng"
177271,ent_0db1fd25d8655c63,KY_BOI,metadata,0.99,Đoàn Thái Sơn
177271,ent_98c0694606f989b8,BAN_HANH_BOI,metadata,0.99,Ngân hàng Nhà nước Việt Nam
177271,ent_bce97600cb09b0de,AP_DUNG_CHO,gemini,0.95,"2. Tổ chức, cá nhân có liên quan đến việc cấp Giấy phép lần đầu, cấp đổi Giấy phép của quỹ tín dụng nhân dân, cấp bản sao Giấy phép từ sổ gốc."
177271,ent_dcf4b5e8d651c5d4,THUOC_LINH_VUC,metadata,0.99,Cục An toàn hệ thống các tổ chức tín dụng
177271,ent_f416ce1b681c4d9b,AP_DUNG_CHO,gemini,0.95,Điều 2. Đối tượng áp dụng 1. Quỹ tín dụng nhân dân.
185630,166170,THAM_CHIEU,rule,0.95,"Căn cứ Luật Các tổ chức tín dụng số 32/2024/QH15 được sửa đổi, bổ sung bởi Luật số 96/2025/QH15;"
185630,166269,THAM_CHIEU,rule,0.95,Căn cứ Luật Hợp tác xã số 17/2023/QH15;
185630,168859,SUA_DOI_BO_SUNG,rule,0.88,"Chương I SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐIỀU CỦA THÔNG TƯ SỐ 29/2024/TT-NHNN QUY ĐỊNH VỀ QUỸ TÍN DỤNG NHÂN DÂN Điều 1."
185630,177271,SUA_DOI_BO_SUNG,rule,0.88,"Chương II SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐIỀU CỦA THÔNG TƯ SỐ 01/2025/TT-NHNN QUY ĐỊNH VỀ CẤP GIẤY PHÉP LẦN ĐẦU, CẤP ĐỔI GIẤY PHÉP CỦA QUỸ TÍN DỤNG NHÂN DÂN Điều 3."
185630,ent_0db1fd25d8655c63,KY_BOI,metadata,0.99,Đoàn Thái Sơn
185630,ent_3b871533517390a8,AP_DUNG_CHO,gemini,0.95,"Thủ trưởng các đơn vị thuộc Ngân hàng Nhà nước Việt Nam, ngân hàng hợp tác xã, quỹ tín dụng nhân dân có trách nhiệm tổ chức thực hiện Thông tư này."
185630,ent_98c0694606f989b8,BAN_HANH_BOI,metadata,0.99,Ngân hàng Nhà nước Việt Nam
185630,ent_f416ce1b681c4d9b,AP_DUNG_CHO,gemini,0.95,"Thủ trưởng các đơn vị thuộc Ngân hàng Nhà nước Việt Nam, ngân hàng hợp tác xã, quỹ tín dụng nhân dân có trách nhiệm tổ chức thực hiện Thông tư này."
185630,ent_f8280a425299c2ce,THUOC_LINH_VUC,metadata,0.99,"Lao động, tiền lương, tiền công"
185630,ent_fca07e924f4d8236,AP_DUNG_CHO,gemini,0.95,"Thủ trưởng các đơn vị thuộc Ngân hàng Nhà nước Việt Nam, ngân hàng hợp tác xã, quỹ tín dụng nhân dân có trách nhiệm tổ chức thực hiện Thông tư này."
186482,166170,THAM_CHIEU,rule,0.95,"Căn cứ Luật Các tổ chức tín dụng số 32/2024/QH15 được sửa đổi, bổ sung bởi Luật số 96/2025/QH15;"
186482,174218,SUA_DOI_BO_SUNG,rule,0.88,"Chương IV SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐIỀU CỦA THÔNG TƯ SỐ 62/2024/TT-NHNN CỦA THỐNG ĐỐC NGÂN HÀNG NHÀ NƯỚC VIỆT NAM QUY ĐỊNH VỀ ĐIỀU KIỆN, HỒ SƠ, THỦ TỤC CHẤP THUẬN VIỆC TỔ CHỨC LẠI NGÂN HÀNG THƯƠNG MẠI, TỔ CHỨC TÍN DỤNG PHI NGÂN HÀNG Điều 26."
186482,25692,THAM_CHIEU,rule,0.95,"NG TƯ Sửa đổi, bổ sung một số điều của một số Thông tư của Thống đốc Ngân hàng Nhà nước Việt Nam trong lĩnh vực quản lý, giám sát ngân hàng liên quan đến cắt giảm điều kiện kinh doanh, đơn giản hóa thủ tục hành chính Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12;"
186482,ent_0db1fd25d8655c63,KY_BOI,metadata,0.99,Đoàn Thái Sơn
186482,ent_587ab6a986a6d453,AP_DUNG_CHO,gemini,0.95,"Thủ trưởng các đơn vị thuộc Ngân hàng Nhà nước Việt Nam, tổ chức tín dụng, chi nhánh ngân hàng nước ngoài, Công ty quản lý tài sản của các tổ chức tín dụng Việt Nam chịu trách nhiệm thực hiện Thông tư này./."
186482,ent_5e27352f38bb7b0a,THUOC_LINH_VUC,gemini,0.95,"trong lĩnh vực quản lý, giám sát ngân hàng liên quan đến cắt giảm điều kiện kinh doanh, đơn giản hóa thủ tục hành chính"
186482,ent_98c0694606f989b8,BAN_HANH_BOI,metadata,0.99,Ngân hàng Nhà nước Việt Nam
186482,ent_dcf4b5e8d651c5d4,THUOC_LINH_VUC,metadata,0.99,Cục An toàn hệ thống các tổ chức tín dụng
186888,166170,THAM_CHIEU,rule,0.95,"Căn cứ Luật Các tổ chức tín dụng số 32/2024/QH15 được sửa đổi, bổ sung bởi Luật số 96/2025/QH15;"
186888,25692,THAM_CHIEU,rule,0.95,"HỘI CHỦ NGHĨA VIỆT NAM Độc lập - Tự do - Hạnh phúc ________________________ Hà Nội, ngày 31 tháng 12 năm 2025 THÔNG TƯ Quy định về hệ thống kiểm soát nội bộ của tổ chức tín dụng là hợp tác xã, tổ chức tài chính vi mô Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12;"
186888,ent_0db1fd25d8655c63,KY_BOI,metadata,0.99,Đoàn Thái Sơn
186888,ent_44f04fad774690af,AP_DUNG_CHO,gemini,0.95,"1. Tổ chức tín dụng là hợp tác xã bao gồm ngân hàng hợp tác xã, quỹ tín dụng nhân dân."
186888,ent_7d26675c1d3289f2,AP_DUNG_CHO,gemini,0.95,2. Tổ chức tài chính vi mô.
186888,ent_98c0694606f989b8,BAN_HANH_BOI,metadata,0.99,Ngân hàng Nhà nước Việt Nam
186888,ent_c71a3da0ec279c77,AP_DUNG_CHO,gemini,0.95,"3. Tổ chức, cá nhân có liên quan đến hệ thống kiểm soát nội bộ của tổ chức tín dụng."
186888,ent_dcf4b5e8d651c5d4,THUOC_LINH_VUC,metadata,0.99,Cục An toàn hệ thống các tổ chức tín dụng
25692,ent_1cdcaf71884e8a3b,BAN_HANH_BOI,metadata,0.99,Quốc hội
25692,ent_5cdeaf72cfc2527d,KY_BOI,metadata,0.99,Nguyễn Phú Trọng
25692,ent_8f237a638ffb9b46,THUOC_LINH_VUC,gemini,0.9,nhân danh Nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam về lĩnh vực tiền tệ và ngân hàng.
25692,ent_f3dacdd0e784d408,AP_DUNG_CHO,gemini,0.95,Luật này quy định về tổ chức và hoạt động của Ngân hàng Nhà nước Việt Nam.
26750,ent_1cdcaf71884e8a3b,BAN_HANH_BOI,metadata,0.99,Quốc hội
26750,ent_56f09eacc51aec68,AP_DUNG_CHO,gemini,0.95,"Điều 2. Đối tượng áp dụng Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
26750,ent_5cdeaf72cfc2527d,KY_BOI,metadata,0.99,Nguyễn Phú Trọng
27257,25692,THAM_CHIEU,rule,0.95,"c lập - Tự do - Hạnh phúc --------------- Số: 44/2011/TT-NHNN Hà Nội, ngày 29 tháng 12 năm 2011 THÔNG TƯ Q uy định về hệ thống kiểm soát nội bộ và kiểm toán nội bộ của tổ chức tín dụng, chi nhánh ngân hàng nước ngoài Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12 ngày 16 tháng 6 năm 2010;"
27257,ent_6956103aef150326,AP_DUNG_CHO,gemini,0.95,"3. Tổ chức, cá nhân có liên quan đến hệ thống kiểm soát nội bộ và kiểm toán nội bộ của tổ chức tín dụng, chi nhánh ngân hàng nước ngoài."
27257,ent_98c0694606f989b8,BAN_HANH_BOI,metadata,0.99,Ngân hàng Nhà nước Việt Nam
27257,ent_a0f80c00e2d551f4,AP_DUNG_CHO,gemini,1.0,2. Chi nhánh ngân hàng nước ngoài;
27257,ent_b918609505bd5491,KY_BOI,metadata,0.99,Trần Minh Tuấn
27257,ent_f7cce62e224d7722,AP_DUNG_CHO,gemini,1.0,Điều 2. Đối tượng áp dụng 1. Tổ chức tín dụng;
30402,26750,THAM_CHIEU,rule,0.95,"A XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập – Tự do – Hạnh phúc Số: 202/2012/TT-BTC Hà Nội, ngày 19 tháng 11 năm 2012 THÔNG TƯ Hướng dẫn về đăng ký, quản lý và công khai danh sách kiểm toán viên hành nghề kiểm toán ___________________ Căn cứ Luật Kiểm toán độc lập số 67/2011/QH12 ngày 29 tháng 3 năm 2011;"
30402,ent_06e3fa9da5e30415,KY_BOI,metadata,0.99,Trần Xuân Hà
30402,ent_1fc6baf6a2b56ee9,THUOC_LINH_VUC,metadata,0.99,Quản lý dịch vụ tài chính và các quỹ tài chính
30402,ent_660d1dbb96a72415,AP_DUNG_CHO,gemini,0.9,"Vụ trưởng Vụ Chế độ kế toán và kiểm toán, doanh nghiệp kiểm toán, kiểm toán viên hành nghề và các tổ chức, cá nhân có liên quan chịu trách nhiệm thi hành Thông tư này."
30402,ent_86e864802c407649,AP_DUNG_CHO,gemini,0.95,"1. Kiểm toán viên đăng ký hành nghề tại doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam."
30402,ent_8f8116b6ed0547c2,AP_DUNG_CHO,gemini,0.95,"3. Tổ chức, cá nhân có liên quan đến việc đăng ký, quản lý và công khai danh sách kiểm toán viên hành nghề kiểm toán."
30402,ent_c46f3a7601ec0842,AP_DUNG_CHO,gemini,0.95,"2. Doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam (sau đây gọi chung là doanh nghiệp kiểm toán)."
30402,ent_f738d9f6982c7b6f,BAN_HANH_BOI,metadata,0.99,Bộ Tài chính
